,state,estimated_population,last_available_confirmed,new_deaths
1837165,SP,46289333.0,24041,224
2069281,SP,46289333.0,2956210,689
1887522,SP,46289333.0,500301,383
1888165,SP,46289333.0,514197,330
2004581,SP,46289333.0,1702294,54
1888808,SP,46289333.0,529006,321
1889451,SP,46289333.0,542304,287
1890095,SP,46289333.0,552318,239
1890739,SP,46289333.0,558685,81
2065399,SP,46289333.0,2888158,876
1891383,SP,46289333.0,560218,48
2005228,SP,46289333.0,1715253,282
1892027,SP,46289333.0,575589,337
1892671,SP,46289333.0,585265,407
1967055,SP,46289333.0,1238094,146
1893315,SP,46289333.0,598670,339
1893960,SP,46289333.0,608379,287
1894605,SP,46289333.0,621731,281
2064752,SP,46289333.0,2873238,814
1886879,SP,46289333.0,487654,70
2066046,SP,46289333.0,2903709,659
1967702,SP,46289333.0,1240473,28
1968349,SP,46289333.0,1241653,19
2068634,SP,46289333.0,2941980,849
1880466,SP,46289333.0,407415,339
2003287,SP,46289333.0,1694355,231
1881106,SP,46289333.0,412027,270
2067987,SP,46289333.0,2926516,114
1881747,SP,46289333.0,415049,85
2067340,SP,46289333.0,2923367,117
1882388,SP,46289333.0,416434,56
1886236,SP,46289333.0,483982,89
2066693,SP,46289333.0,2918044,750
1883029,SP,46289333.0,422669,383
1883670,SP,46289333.0,439446,361
2003934,SP,46289333.0,1699427,79
1884311,SP,46289333.0,452007,362
1884952,SP,46289333.0,463218,312
1885594,SP,46289333.0,479481,311
1895250,SP,46289333.0,627126,98
2005875,SP,46289333.0,1731294,332
1895895,SP,46289333.0,628415,37
1910119,SP,46289333.0,814375,361
1906884,SP,46289333.0,784453,221
1907531,SP,46289333.0,796209,279
2062811,SP,46289333.0,2834321,145
2007816,SP,46289333.0,1773024,232
1908178,SP,46289333.0,801422,250
1908825,SP,46289333.0,803404,34
1909472,SP,46289333.0,804342,36
1965114,SP,46289333.0,1224744,146
1905590,SP,46289333.0,765670,407
1910766,SP,46289333.0,826331,298
1911413,SP,46289333.0,837978,232
2062164,SP,46289333.0,2827833,875
2008463,SP,46289333.0,1777368,80
1912060,SP,46289333.0,845016,186
1912707,SP,46289333.0,853085,222
1913354,SP,46289333.0,855722,40
1906237,SP,46289333.0,776135,282
1904943,SP,46289333.0,756480,38
1897185,SP,46289333.0,655181,298
1900415,SP,46289333.0,702665,47
1897831,SP,46289333.0,674455,455
1966408,SP,46289333.0,1233587,129
1898477,SP,46289333.0,686122,289
1899123,SP,46289333.0,697530,167
2064105,SP,46289333.0,2856225,1044
1899769,SP,46289333.0,699493,72
2006522,SP,46289333.0,1746070,311
1901061,SP,46289333.0,711530,416
1965761,SP,46289333.0,1229267,172
1901708,SP,46289333.0,721377,276
1902355,SP,46289333.0,730828,314
1903002,SP,46289333.0,735960,250
2063458,SP,46289333.0,2838233,105
2007169,SP,46289333.0,1759957,241
1903649,SP,46289333.0,749244,237
1904296,SP,46289333.0,754129,75
1879826,SP,46289333.0,402048,398
1879186,SP,46289333.0,393176,316
1996817,SP,46289333.0,1577119,323
2002640,SP,46289333.0,1679759,254
1861651,SP,46289333.0,191517,389
1862248,SP,46289333.0,192628,325
2081574,SP,46289333.0,3192727,63
1862855,SP,46289333.0,211658,386
2080927,SP,46289333.0,3188105,117
1998758,SP,46289333.0,1619619,285
1863465,SP,46289333.0,215793,262
1864076,SP,46289333.0,219185,94
2080280,SP,46289333.0,3180595,480
1864688,SP,46289333.0,221973,46
2079633,SP,46289333.0,3163859,580
1999405,SP,46289333.0,1625339,60
1865304,SP,46289333.0,229475,434
2078986,SP,46289333.0,3147348,585
1865925,SP,46289333.0,238822,284
1970937,SP,46289333.0,1276149,151
1866547,SP,46289333.0,248587,407
1971584,SP,46289333.0,1285087,181
2082221,SP,46289333.0,3210204,898
1861055,SP,46289333.0,190285,365
1972231,SP,46289333.0,1287762,46
1852982,SP,46289333.0,118295,327
1853533,SP,46289333.0,123483,282
1854089,SP,46289333.0,129200,285
1854651,SP,46289333.0,134565,281
1855219,SP,46289333.0,140549,216
1997464,SP,46289333.0,1590829,304
1855790,SP,46289333.0,143073,87
1856362,SP,46289333.0,144593,43
1860460,SP,46289333.0,181460,73
1856937,SP,46289333.0,150138,334
1857515,SP,46289333.0,156316,340
1858101,SP,46289333.0,162520,283
1858688,SP,46289333.0,167900,223
1859278,SP,46289333.0,172875,213
1859869,SP,46289333.0,178202,113
1998111,SP,46289333.0,1605845,311
2078339,SP,46289333.0,3129412,747
1867170,SP,46289333.0,258508,207
2077692,SP,46289333.0,3112624,810
1875996,SP,46289333.0,359110,324
1969643,SP,46289333.0,1259704,166
1874092,SP,46289333.0,332708,341
1874726,SP,46289333.0,341365,313
2072516,SP,46289333.0,3006250,55
1875360,SP,46289333.0,349715,330
2071869,SP,46289333.0,3003067,150
2001993,SP,46289333.0,1670754,286
2071222,SP,46289333.0,2997282,660
1873458,SP,46289333.0,323070,56
1876632,SP,46289333.0,366890,260
1877269,SP,46289333.0,371997,146
2070575,SP,46289333.0,2984182,583
1968996,SP,46289333.0,1250590,195
1877906,SP,46289333.0,374607,59
2069928,SP,46289333.0,2969680,696
1878546,SP,46289333.0,386607,417
2073163,SP,46289333.0,3022568,806
2001346,SP,46289333.0,1658636,334
1867794,SP,46289333.0,265581,297
1870299,SP,46289333.0,289935,267
2000052,SP,46289333.0,1628272,42
1868419,SP,46289333.0,271737,75
2077045,SP,46289333.0,3096845,76
1869044,SP,46289333.0,275145,60
2076398,SP,46289333.0,3092844,224
1970290,SP,46289333.0,1267912,181
1869671,SP,46289333.0,281380,365
2075751,SP,46289333.0,3085290,502
2073810,SP,46289333.0,3038240,696
1870928,SP,46289333.0,302179,321
2075104,SP,46289333.0,3069804,559
2000699,SP,46289333.0,1644225,331
1871560,SP,46289333.0,310517,343
2074457,SP,46289333.0,3053889,578
1872192,SP,46289333.0,312530,302
1872825,SP,46289333.0,320179,82
1914001,SP,46289333.0,857330,24
1914648,SP,46289333.0,858783,53
2009110,SP,46289333.0,1779722,56
1915295,SP,46289333.0,866576,391
1946351,SP,46289333.0,1098207,132
2045989,SP,46289333.0,2446680,1209
2020756,SP,46289333.0,1960564,259
2045342,SP,46289333.0,2425320,292
1946998,SP,46289333.0,1103582,122
2044695,SP,46289333.0,2420100,244
2021403,SP,46289333.0,1971423,244
2044048,SP,46289333.0,2410498,1051
1947645,SP,46289333.0,1108860,112
2043401,SP,46289333.0,2392374,1193
1948292,SP,46289333.0,1113788,136
2022050,SP,46289333.0,1975927,56
2042754,SP,46289333.0,2370885,599
2042107,SP,46289333.0,2352438,281
1948939,SP,46289333.0,1116127,56
2041460,SP,46289333.0,2332043,1021
2022697,SP,46289333.0,1978477,43
2046636,SP,46289333.0,2469849,1160
1945704,SP,46289333.0,1092843,6
1957350,SP,46289333.0,1162782,0
2049224,SP,46289333.0,2527400,270
2050518,SP,46289333.0,2554841,1389
1959291,SP,46289333.0,1169377,12
1943763,SP,46289333.0,1083641,126
2017521,SP,46289333.0,1913598,75
2049871,SP,46289333.0,2532047,145
2018168,SP,46289333.0,1915914,38
1958644,SP,46289333.0,1168640,15
1944410,SP,46289333.0,1089255,118
2020109,SP,46289333.0,1949459,280
2048577,SP,46289333.0,2520204,198
2018815,SP,46289333.0,1927410,398
1957997,SP,46289333.0,1167422,347
1945057,SP,46289333.0,1091980,21
2047930,SP,46289333.0,2513178,818
2019462,SP,46289333.0,1938712,258
2047283,SP,46289333.0,2496416,1082
2040813,SP,46289333.0,2311101,44
1956703,SP,46289333.0,1156652,295
1949586,SP,46289333.0,1117147,20
2026579,SP,46289333.0,2041628,65
2033049,SP,46289333.0,2149561,469
1953468,SP,46289333.0,1125936,0
1956056,SP,46289333.0,1150872,190
2032402,SP,46289333.0,2134020,517
2031755,SP,46289333.0,2117962,121
1954115,SP,46289333.0,1125936,0
2031108,SP,46289333.0,2113738,46
2030461,SP,46289333.0,2107687,353
2033696,SP,46289333.0,2164066,440
2029814,SP,46289333.0,2093924,370
1954762,SP,46289333.0,1125936,0
2029167,SP,46289333.0,2080852,313
2027226,SP,46289333.0,2044699,53
2028520,SP,46289333.0,2068616,367
1955409,SP,46289333.0,1147451,0
2027873,SP,46289333.0,2054867,468
2025932,SP,46289333.0,2037267,299
2034343,SP,46289333.0,2179786,521
2040166,SP,46289333.0,2306326,144
2037578,SP,46289333.0,2243868,617
2023344,SP,46289333.0,1990554,357
1950233,SP,46289333.0,1117795,15
2039519,SP,46289333.0,2298061,616
2038872,SP,46289333.0,2280033,620
1950880,SP,46289333.0,1118544,18
2023991,SP,46289333.0,2002640,329
2038225,SP,46289333.0,2261360,659
1951527,SP,46289333.0,1123299,185
1952821,SP,46289333.0,1125936,0
2024638,SP,46289333.0,2014529,345
2036931,SP,46289333.0,2225926,679
2036284,SP,46289333.0,2208242,100
1952174,SP,46289333.0,1125936,168
2035637,SP,46289333.0,2202983,158
2025285,SP,46289333.0,2026125,256
2034990,SP,46289333.0,2195130,434
2016874,SP,46289333.0,1911411,220
2051165,SP,46289333.0,2576362,889
1943116,SP,46289333.0,1076939,111
1926941,SP,46289333.0,972237,45
1924353,SP,46289333.0,951973,226
2011051,SP,46289333.0,1820941,293
1925000,SP,46289333.0,958240,185
1925647,SP,46289333.0,964921,200
2059576,SP,46289333.0,2769360,1122
1963173,SP,46289333.0,1209588,11
1926294,SP,46289333.0,970888,186
2058929,SP,46289333.0,2750300,178
2060223,SP,46289333.0,2786483,977
1927588,SP,46289333.0,973142,17
2011698,SP,46289333.0,1833163,327
